trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.5, 'e': 0.5319999999999996}",30,16,-36.589950111058826,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.5259999999999996}",30,0,-26.951219291143158,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,18,-3.509997610173407,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5139999999999996}",20,0,-7.517192379967513,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5079999999999996}",20,0,-32.20825011449007,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5019999999999996}",20,0,-13.391342150122934,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.49599999999999955}",25,6,-29.764570013082356,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,4,-12.754298482488931,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.48399999999999954}",25,14,-48.37239360954915,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.47799999999999954}",25,0,-82.06424965487118,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.47199999999999953}",25,11,10.00541331612392,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4659999999999995}",25,16,-7.128385101141147,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,7,6.155476314001335,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4539999999999995}",20,12,2.5995576150261224,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4479999999999995}",25,8,26.037790654921785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.4419999999999995}",20,13,1.7185565166765713,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.4359999999999995}",25,14,3.0730510419579544,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,18,15.641131410088386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
